104*K205905V02N49*25022025D004*A2C779610110000224B070022E*-986*2025.01.07 06:03:16*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025D*Default*6.16.0.77*ok,0.199200,0.05,0.5*ok,0.105576,0.05,0.5*Default*
0*K205905V02N49*25022025A025*A2C779610110000224B0700224*0*2025.01.07 06:40:06*477**254*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.240000,0.05,0.5*
1*K205905V02N49*25022025B029*A2C779610110000224B070019B*-986*2025.01.07 06:47:55*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*176*0*025B*Default*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.101000,0.05,0.5*Default*
104*K205905V02N49*25022025D019*A2C77961010000022382200206*0*2025.01.07 06:15:26*2366**245*0*025D*Z301963*6.16.0.77*ok,0.190236,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.240036,0.05,0.5*
0*K205905V02N49*25022025A030*A2C779610110000224B070019C*0*2025.01.07 06:49:03*476**254*0*025A*Z301963*6.16.0.77*ok,0.195000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.241000,0.05,0.5*
104*K205905V02N49*25022025D029*A2C779610110000224B070019B*0*2025.01.07 06:56:19*482**257*1*025D*Z301963*6.16.0.77*ok,0.188244,0.05,0.5*ok,0.103584,0.05,0.5*ok,0.243024,0.05,0.5*
1*K205905V02N49*25022025B031*A2C779610110000224B070019D*0*2025.01.07 06:57:32*474**254*0*025B*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.239000,0.05,0.5*
0*K205905V02N49*25022025A032*A2C779610110000224B0700226*0*2025.01.07 06:58:25*475**253*0*025A*Z301963*6.16.0.77*ok,0.208000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.245000,0.05,0.5*
103*K205905V02N49*25022025C022*A2C77961010000022382200207*0*2025.01.07 06:28:59*2366**246*0*025C*Z301963*6.16.0.77*ok,0.288133,0.05,0.5*ok,0.199400,0.05,0.5*ok,0.337983,0.05,0.5*
104*K205905V02N49*25022025D033*A2C779610110000224B0700229*-986*2025.01.07 07:05:21*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025D*Default*6.16.0.77*ok,0.189240,0.05,0.5*ok,0.100596,0.05,0.5*Default*
1*K205905V02N49*25022025B034*A2C779610110000224B070022A*0*2025.01.07 07:06:25*473**254*0*025B*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.240000,0.05,0.5*
103*K205905V02N49*25022025C033*A2C779610110000224B0700229*0*2025.01.07 07:11:04*480**257*1*025C*Z301963*6.16.0.77*ok,0.285142,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.336986,0.05,0.5*
1*K205905V02N49*25022025B035*A2C779610110000224B070019E*0*2025.01.07 07:29:09*477**253*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.238000,0.05,0.5*
104*K205905V02N49*25022025D036*A2C779610110000224B07001A2*0*2025.01.07 07:29:33*477**255*0*025D*Z301963*6.16.0.77*ok,0.212148,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.241032,0.05,0.5*
103*K205905V02N49*25022025C037*A2C779610110000224B07001A1*0*2025.01.07 07:29:55*477**254*0*025C*Z301963*6.16.0.77*ok,0.293118,0.05,0.5*ok,0.202391,0.05,0.5*ok,0.341971,0.05,0.5*
1*K205905V02N49*25022025B052*A2C779610110000224B2700066*0*2025.01.07 07:38:21*474**253*0*025B*Z301963*6.16.0.77*ok,0.187000,0.05,0.5*ok,0.097000,0.05,0.5*ok,0.234000,0.05,0.5*
104*K205905V02N49*25022025D053*A2C779610110000224B2700065*0*2025.01.07 07:39:24*475**254*0*025D*Z301963*6.16.0.77*ok,0.194220,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.239040,0.05,0.5*
103*K205905V02N49*25022025C054*A2C779610110000224B2700063*0*2025.01.07 07:40:21*473**254*0*025C*Z301963*6.16.0.77*ok,0.285142,0.05,0.5*ok,0.198403,0.05,0.5*ok,0.333995,0.05,0.5*
1*K205905V02N49*25022025B058*A2C779610110000224B270005A*0*2025.01.07 07:47:23*476**254*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.235000,0.05,0.5*
104*K205905V02N49*25022025D059*A2C779610110000224B270005F*0*2025.01.07 07:48:22*475**255*0*025D*Z301963*6.16.0.77*ok,0.189240,0.05,0.5*ok,0.099600,0.05,0.5*ok,0.235056,0.05,0.5*
103*K205905V02N49*25022025C060*A2C779610110000224B2700068*0*2025.01.07 07:49:19*473**254*0*025C*Z301963*6.16.0.77*ok,0.291124,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.338980,0.05,0.5*
1*K205905V02N49*25022025B061*A2C779610110000224B2700064*0*2025.01.07 07:56:20*475**254*0*025B*Z301963*6.16.0.77*ok,0.186000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.235000,0.05,0.5*
104*K205905V02N49*25022025D062*A2C779610110000224B2700062*0*2025.01.07 07:57:20*476**254*0*025D*Z301963*6.16.0.77*ok,0.195216,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.242028,0.05,0.5*
103*K205905V02N49*25022025C063*A2C779610110000224B2700061*0*2025.01.07 07:58:19*476**255*0*025C*Z301963*6.16.0.77*ok,0.291124,0.05,0.5*ok,0.200397,0.05,0.5*ok,0.337983,0.05,0.5*
0*K205905V02N49*25022025A038*A2C77961010000022382200209*0*2025.01.07 07:30:19*2372**245*0*025A*Z301963*6.16.0.77*ok,0.193000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.242000,0.05,0.5*
1*K205905V02N49*25022025B064*A2C779610110000224B070019F*0*2025.01.07 08:05:16*473**254*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.236000,0.05,0.5*
104*K205905V02N49*25022025D065*A2C779610110000224B070019A*0*2025.01.07 08:06:17*477**254*0*025D*Z301963*6.16.0.77*ok,0.189240,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.237048,0.05,0.5*
103*K205905V02N49*25022025C066*A2C779610110000224B0700199*0*2025.01.07 08:07:23*474**254*0*025C*Z301963*6.16.0.77*ok,0.297106,0.05,0.5*ok,0.202391,0.05,0.5*ok,0.337983,0.05,0.5*
104*K205905V02N49*25022025D069*A2C779610110000224B0700194*-986*2025.01.07 08:15:16*324*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025D*Default*6.16.0.77*ok,0.193224,0.05,0.5*ok,0.100596,0.05,0.5*Default*
1*K205905V02N49*25022025B068*A2C779610110000224B0700195*0*2025.01.07 08:14:08*477**255*0*025B*Z301963*6.16.0.77*ok,0.198000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.243000,0.05,0.5*
103*K205905V02N49*25022025C070*A2C779610110000224B0700193*0*2025.01.07 08:16:16*471**253*0*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.338980,0.05,0.5*
1*K205905V02N49*25022025B069*A2C779610110000224B0700194*0*2025.01.07 08:22:58*482**258*1*025B*Z301963*6.16.0.77*ok,0.183000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.238000,0.05,0.5*
104*K205905V02N49*25022025D071*A2C779610110000224B0700197*0*2025.01.07 08:24:10*473**253*0*025D*Z301963*6.16.0.77*ok,0.191232,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.238044,0.05,0.5*
103*K205905V02N49*25022025C072*A2C779610110000224B0700196*0*2025.01.07 08:25:09*478**254*0*025C*Z301963*6.16.0.77*ok,0.296109,0.05,0.5*ok,0.204385,0.05,0.5*ok,0.345959,0.05,0.5*
1*K205905V02N49*25022025B073*A2C779610110000224B270005B*0*2025.01.07 08:32:01*481**255*0*025B*Z301963*6.16.0.77*ok,0.188000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.236000,0.05,0.5*
104*K205905V02N49*25022025D074*A2C779610110000224B270005C*0*2025.01.07 08:34:42*477**254*0*025D*Z301963*6.16.0.77*ok,0.195216,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.244020,0.05,0.5*
103*K205905V02N49*25022025C075*A2C779610110000224B27000DC*0*2025.01.07 08:37:23*476**254*0*025C*Z301963*6.16.0.77*ok,0.291124,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.339977,0.05,0.5*
1*K205905V02N49*25022025B083*A2C779610110000224B27000D9*0*2025.01.07 08:41:08*474**255*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.238000,0.05,0.5*
0*K205905V02N49*25022025A067*A2C77961010000022382200202*0*2025.01.07 08:11:24*2367**244*0*025A*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.241000,0.05,0.5*
104*K205905V02N49*25022025D088*A2C779610110000224B27000E6*0*2025.01.07 08:43:41*474**254*0*025D*Z301963*6.16.0.77*ok,0.190236,0.05,0.5*ok,0.099600,0.05,0.5*ok,0.238044,0.05,0.5*
103*K205905V02N49*25022025C089*A2C779610110000224B27000E3*0*2025.01.07 08:46:22*473**254*0*025C*Z301963*6.16.0.77*ok,0.293118,0.05,0.5*ok,0.203388,0.05,0.5*ok,0.342968,0.05,0.5*
1*K205905V02N49*25022025B090*A2C779610110000224B27000E1*0*2025.01.07 08:50:05*475**255*0*025B*Z301963*6.16.0.77*ok,0.189000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.238000,0.05,0.5*
0*K205905V02N49*25022025A091*A2C779610110000224B27000DD*0*2025.01.07 08:52:27*473**254*0*025A*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.236000,0.05,0.5*
104*K205905V02N49*25022025D092*A2C779610110000224B27000DE*0*2025.01.07 08:53:23*472**254*0*025D*Z301963*6.16.0.77*ok,0.212148,0.05,0.5*ok,0.099600,0.05,0.5*ok,0.233064,0.05,0.5*
103*K205905V02N49*25022025C093*A2C779610110000224B27000E0*0*2025.01.07 08:55:17*476**255*0*025C*Z301963*6.16.0.77*ok,0.292121,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.339977,0.05,0.5*
1*K205905V02N49*25022025B094*A2C779610110000224B27000E7*0*2025.01.07 08:59:00*474**255*0*025B*Z301963*6.16.0.77*ok,0.210000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.238000,0.05,0.5*
0*K205905V02N49*25022025A095*A2C779610110000224B27000DA*0*2025.01.07 09:01:20*474**254*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.240000,0.05,0.5*
104*K205905V02N49*25022025D096*A2C779610110000224B27000E2*0*2025.01.07 09:02:17*476**255*0*025D*Z301963*6.16.0.77*ok,0.192228,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.239040,0.05,0.5*
103*K205905V02N49*25022025C097*A2C779610110000224B27000E4*0*2025.01.07 09:04:13*475**254*0*025C*Z301963*6.16.0.77*ok,0.301094,0.05,0.5*ok,0.202391,0.05,0.5*ok,0.341971,0.05,0.5*
1*K205905V02N49*25022025B098*A2C779610110000224B27000E5*0*2025.01.07 09:07:53*476**254*0*025B*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.242000,0.05,0.5*
0*K205905V02N49*25022025A099*A2C779610110000224B27000DB*0*2025.01.07 09:10:14*474**254*0*025A*Z301963*6.16.0.77*ok,0.194000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.242000,0.05,0.5*
104*K205905V02N49*25022025D100*A2C779610110000224B27000DF*0*2025.01.07 09:11:15*475**255*0*025D*Z301963*6.16.0.77*ok,0.194220,0.05,0.5*ok,0.102588,0.05,0.5*ok,0.243024,0.05,0.5*
103*K205905V02N49*25022025C101*A2C779610110000224B27000E8*0*2025.01.07 09:13:10*471**254*0*025C*Z301963*6.16.0.77*ok,0.293118,0.05,0.5*ok,0.203388,0.05,0.5*ok,0.340974,0.05,0.5*
1*K205905V02N49*25022025B102*A2C779610110000224B270005D*0*2025.01.07 09:26:55*476**254*0*025B*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.234000,0.05,0.5*
0*K205905V02N49*25022025A104*A2C779610110000224B2700057*-1000*2025.01.07 09:28:09*438*-1000,ERROR,"Error StartCommunicationFailed occurred reading BOOT_SW_ID"*205*0*025A*Default*6.16.0.77*ok,0.194000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.242000,0.05,0.5*
103*K205905V02N49*25022025C103*A2C779610110000224B2700058*0*2025.01.07 09:27:32*476**255*0*025C*Z301963*6.16.0.77*ok,0.292121,0.05,0.5*ok,0.202391,0.05,0.5*ok,0.339977,0.05,0.5*
104*K205905V02N49*25022025D105*A2C779610110000224B2700060*0*2025.01.07 09:28:46*477**254*0*025D*Z301963*6.16.0.77*ok,0.192228,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.237048,0.05,0.5*
104*K205905V02N49*25022025D120*A2C779610110000224B27000A3*-986*2025.01.07 09:38:05*325*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025D*Default*6.16.0.77*ok,0.193224,0.05,0.5*ok,0.102588,0.05,0.5*Default*
1*K205905V02N49*25022025B104*A2C779610110000224B2700057*0*2025.01.07 09:35:51*483**257*1*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.239000,0.05,0.5*
103*K205905V02N49*25022025C119*A2C779610110000224B27000A5*0*2025.01.07 09:36:48*474**254*0*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.338980,0.05,0.5*
0*K205905V02N49*25022025A121*A2C779610110000224B27000A1*0*2025.01.07 09:38:47*475**254*0*025A*Z301963*6.16.0.77*ok,0.194000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.243000,0.05,0.5*
1*K205905V02N49*25022025B120*A2C779610110000224B27000A3*0*2025.01.07 09:44:46*482**257*1*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.242000,0.05,0.5*
103*K205905V02N49*25022025C122*A2C779610110000224B270009A*0*2025.01.07 09:46:01*475**254*0*025C*Z301963*6.16.0.77*ok,0.287136,0.05,0.5*ok,0.198403,0.05,0.5*ok,0.334992,0.05,0.5*
104*K205905V02N49*25022025D123*A2C779610110000224B270009C*0*2025.01.07 09:46:40*475**254*0*025D*Z301963*6.16.0.77*ok,0.217128,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.242028,0.05,0.5*
0*K205905V02N49*25022025A124*A2C779610110000224B270009E*0*2025.01.07 09:47:43*474**254*0*025A*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.238000,0.05,0.5*
1*K205905V02N49*25022025B125*A2C779610110000224B27000A0*0*2025.01.07 09:53:47*476**254*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.239000,0.05,0.5*
0*K205905V02N49*25022025A128*A2C779610110000224B27000A7*-986*2025.01.07 09:56:46*328*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*177*0*025A*Default*6.16.0.77*ok,0.193000,0.05,0.5*ok,0.103000,0.05,0.5*Default*
103*K205905V02N49*25022025C126*A2C779610110000224B27000A2*0*2025.01.07 09:54:56*473**254*0*025C*Z301963*6.16.0.77*ok,0.287136,0.05,0.5*ok,0.199400,0.05,0.5*ok,0.333995,0.05,0.5*
104*K205905V02N49*25022025D127*A2C779610110000224B27000A4*0*2025.01.07 09:55:52*477**255*0*025D*Z301963*6.16.0.77*ok,0.193224,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.241032,0.05,0.5*
1*K205905V02N49*25022025B128*A2C779610110000224B27000A7*0*2025.01.07 10:02:36*485**257*1*025B*Z301963*6.16.0.77*ok,0.186000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.236000,0.05,0.5*
103*K205905V02N49*25022025C129*A2C779610110000224B27000A8*0*2025.01.07 10:03:56*475**255*0*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.336986,0.05,0.5*
0*K205905V02N49*25022025A130*A2C779610110000224B2700099*0*2025.01.07 10:04:35*476**254*0*025A*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.237000,0.05,0.5*
104*K205905V02N49*25022025D131*A2C779610110000224B270009B*0*2025.01.07 10:05:31*476**254*0*025D*Z301963*6.16.0.77*ok,0.186252,0.05,0.5*ok,0.098604,0.05,0.5*ok,0.233064,0.05,0.5*
1*K205905V02N49*25022025B132*A2C779610110000224B270009D*0*2025.01.07 10:11:41*482**257*0*025B*Z301963*6.16.0.77*ok,0.189000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.235000,0.05,0.5*
0*K205905V02N49*25022025A133*A2C779610110000224B270009F*0*2025.01.07 10:14:41*478**255*0*025A*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.238000,0.05,0.5*
103*K205905V02N49*25022025C134*A2C779610110000224B27000A6*0*2025.01.07 10:16:25*475**253*0*025C*Z301963*6.16.0.77*ok,0.292121,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.335989,0.05,0.5*
104*K205905V02N49*25022025D135*A2C779610110000224B07000F2*0*2025.01.07 10:18:03*473**254*0*025D*Z301963*6.16.0.77*ok,0.191232,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.239040,0.05,0.5*
1*K205905V02N49*25022025B141*A2C779610110000224B07000F5*0*2025.01.07 10:21:00*474**254*0*025B*Z301963*6.16.0.77*ok,0.198000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.238000,0.05,0.5*
0*K205905V02N49*25022025A147*A2C779610110000224B07000FA*0*2025.01.07 10:23:58*474**253*0*025A*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.239000,0.05,0.5*
103*K205905V02N49*25022025C150*A2C779610110000224B07000FD*0*2025.01.07 10:25:41*473**254*0*025C*Z301963*6.16.0.77*ok,0.292121,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.341971,0.05,0.5*
104*K205905V02N49*25022025D151*A2C779610110000224B07000F3*0*2025.01.07 10:26:59*472**254*0*025D*Z301963*6.16.0.77*ok,0.196212,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.236052,0.05,0.5*
1*K205905V02N49*25022025B152*A2C779610110000224B07000F4*0*2025.01.07 10:29:54*472**255*0*025B*Z301963*6.16.0.77*ok,0.187000,0.05,0.5*ok,0.099000,0.05,0.5*ok,0.233000,0.05,0.5*
0*K205905V02N49*25022025A153*A2C779610110000224B07000F7*0*2025.01.07 10:32:53*473**254*0*025A*Z301963*6.16.0.77*ok,0.191000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.237000,0.05,0.5*
103*K205905V02N49*25022025C154*A2C779610110000224B07000F9*0*2025.01.07 10:34:35*475**255*0*025C*Z301963*6.16.0.77*ok,0.292121,0.05,0.5*ok,0.202391,0.05,0.5*ok,0.338980,0.05,0.5*
104*K205905V02N49*25022025D155*A2C779610110000224B0700100*0*2025.01.07 10:35:52*473**255*0*025D*Z301963*6.16.0.77*ok,0.195216,0.05,0.5*ok,0.102588,0.05,0.5*ok,0.243024,0.05,0.5*
1*K205905V02N49*25022025B156*A2C779610110000224B0700101*0*2025.01.07 10:38:46*473**253*0*025B*Z301963*6.16.0.77*ok,0.190000,0.05,0.5*ok,0.100000,0.05,0.5*ok,0.240000,0.05,0.5*
103*K205905V02N49*25022025C163*A2C779610110000224B07000F9*-986*2025.01.07 11:13:05*367*-986,FAIL,"writeData: Error WriteEcuDataFailed occurred writing data REG_X_SW_ID_NUMBERS Value: <                                                                                                    >"*192*0*025C*Default*6.16.0.77*ok,0.287136,0.05,0.5*ok,0.202391,0.05,0.5*Default*
0*K205905V02N49*25022025A165*A2C779610110000224B07000F6*0*2025.01.07 11:12:55*475**254*0*025A*Z301963*6.16.0.77*ok,0.195000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.240000,0.05,0.5*
1*K205905V02N49*25022025B162*A2C779610110000224B0700101*0*2025.01.07 11:13:00*511**271*0*025B*Z301963*6.16.0.77*ok,0.186000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.240000,0.05,0.5*
104*K205905V02N49*25022025D164*A2C779610110000224B0700100*0*2025.01.07 11:13:10*511**270*0*025D*Z301963*6.16.0.77*ok,0.190236,0.05,0.5*ok,0.103584,0.05,0.5*ok,0.243024,0.05,0.5*
0*K205905V02N49*25022025A163*A2C779610110000224B07000F9*0*2025.01.07 11:24:49*483**258*1*025A*Z301963*6.16.0.77*ok,0.197000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.244000,0.05,0.5*
1*K205905V02N49*25022025B166*A2C779610110000224B07000F8*0*2025.01.07 11:25:09*474**255*0*025B*Z301963*6.16.0.77*ok,0.187000,0.05,0.5*ok,0.098000,0.05,0.5*ok,0.236000,0.05,0.5*
104*K205905V02N49*25022025D167*A2C779610110000224B07000FF*0*2025.01.07 11:25:44*473**254*0*025D*Z301963*6.16.0.77*ok,0.189240,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.235056,0.05,0.5*
103*K205905V02N49*25022025C168*A2C779610110000224B07000FE*0*2025.01.07 11:26:21*475**255*0*025C*Z301963*6.16.0.77*ok,0.304085,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.338980,0.05,0.5*
0*K205905V02N49*25022025A169*A2C779610110000224B07000FB*0*2025.01.07 11:36:57*480**254*0*025A*Z301963*6.16.0.77*ok,0.193000,0.05,0.5*ok,0.104000,0.05,0.5*ok,0.240000,0.05,0.5*
103*K205905V02N49*25022025C170*A2C779610110000224B07000FC*0*2025.01.07 11:37:53*480**254*0*025C*Z301963*6.16.0.77*ok,0.310067,0.05,0.5*ok,0.200397,0.05,0.5*ok,0.333995,0.05,0.5*
1*K205905V02N49*25022025B171*A2C779610110000224B270005E*0*2025.01.07 11:42:10*476**254*0*025B*Z301963*6.16.0.77*ok,0.193000,0.05,0.5*ok,0.101000,0.05,0.5*ok,0.240000,0.05,0.5*
104*K205905V02N49*25022025D172*A2C779610110000224B0700152*0*2025.01.07 11:43:42*474**254*0*025D*Z301963*6.16.0.77*ok,0.191232,0.05,0.5*ok,0.101592,0.05,0.5*ok,0.238044,0.05,0.5*
0*K205905V02N49*25022025A177*A2C779610110000224B0700159*0*2025.01.07 11:46:13*473**254*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.240000,0.05,0.5*
103*K205905V02N49*25022025C178*A2C779610110000224B0700158*0*2025.01.07 11:47:10*475**254*0*025C*Z301963*6.16.0.77*ok,0.290127,0.05,0.5*ok,0.201394,0.05,0.5*ok,0.338980,0.05,0.5*
1*K205905V02N49*25022025B187*A2C779610110000224B070015E*0*2025.01.07 11:51:15*472**254*0*025B*Z301963*6.16.0.77*ok,0.193000,0.05,0.5*ok,0.102000,0.05,0.5*ok,0.241000,0.05,0.5*
104*K205905V02N49*25022025D188*A2C779610110000224B0700153*0*2025.01.07 11:52:36*475**253*0*025D*Z301963*6.16.0.77*ok,0.194220,0.05,0.5*ok,0.100596,0.05,0.5*ok,0.237048,0.05,0.5*
0*K205905V02N49*25022025A189*A2C779610110000224B0700154*0*2025.01.07 11:55:06*472**254*0*025A*Z301963*6.16.0.77*ok,0.192000,0.05,0.5*ok,0.103000,0.05,0.5*ok,0.240000,0.05,0.5*
